Time,Load (kW),Pressure_kpa,Cloud Cover (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh)
2017-03-27 10:00:00,1352383.44653707,1009,0,28,279,13
2017-03-27 11:00:00,1368326.03853707,1008,0,28,287,16
2017-03-27 12:00:00,1369735.49253707,1007,0,28,295,20
2017-03-27 13:00:00,1380218.54853707,1007,0,28,301,18
2017-03-27 14:00:00,1392788.13253707,1007,0,28,307,16
2017-03-27 15:00:00,1387750.09653707,1006,0,28,313,14
2017-03-27 16:00:00,1369111.19853707,1007,0,24,319,12
2017-03-27 17:00:00,1322572.65733707,1007,0,22,324,10
2017-03-27 18:00:00,1270255.00213707,1008,0,20,329,9
2017-03-27 19:00:00,1223320.40893707,1008,0,20,282,8
2017-03-27 20:00:00,1178197.24189707,1009,0,18,235,8
2017-03-27 21:00:00,1152145.91243707,1009,0,18,188,8
2017-03-27 22:00:00,1130012.61689707,1009,0,16,184,8
2017-03-27 23:00:00,1102936.55141707,1009,0,16,179,7
2017-03-28 00:00:00,1070296.84581707,1008,0,14,174,7
2017-03-28 01:00:00,1046821.57811707,1008,0,14,179,7
2017-03-28 02:00:00,1025189.51037707,1008,0,12,184,7
2017-03-28 03:00:00,1007974.88059707,1008,0,12,189,8
2017-03-28 04:00:00,1002856.93069707,1009,0,14,180,7
2017-03-28 05:00:00,1008084.09059707,1009,0,16,172,7
2017-03-28 06:00:00,1024926.97229707,1010,0,18,163,7
2017-03-28 07:00:00,1087711.23325707,1010,0,22,206,6
2017-03-28 08:00:00,1199602.96123707,1010,0,24,248,6
2017-03-28 09:00:00,1313529.86153707,1010,0,28,291,5
2017-03-28 10:00:00,1369282.86053707,1010,0,28,290,10
2017-03-28 11:00:00,1386651.58453707,1009,0,28,289,14
2017-03-28 12:00:00,1396367.71853707,1008,0,30,288,18
2017-03-28 13:00:00,1402109.72253707,1007,0,28,292,17
2017-03-28 14:00:00,1419028.60593707,1007,0,26,297,17
2017-03-28 15:00:00,1412253.64233707,1007,0,26,301,16
2017-03-28 16:00:00,1403675.91853707,1007,0,24,303,13
2017-03-28 17:00:00,1360045.25893707,1008,0,22,306,10
2017-03-28 18:00:00,1301910.28593707,1008,0,18,308,8
2017-03-28 19:00:00,1250314.34873707,1009,0,18,264,9
2017-03-28 20:00:00,1199171.59373707,1010,0,16,220,10
2017-03-28 21:00:00,1163029.46241707,1010,0,16,176,11
2017-03-28 22:00:00,1137169.20489707,1010,0,14,178,9
2017-03-28 23:00:00,1112686.30721707,1009,0,14,179,8
2017-03-29 00:00:00,1083962.63959707,1009,0,12,181,6
2017-03-29 01:00:00,1060406.98991707,1009,14,12,183,6
2017-03-29 02:00:00,1035210.95423707,1009,28,10,184,5
2017-03-29 03:00:00,1020046.16439707,1009,42,10,186,4
2017-03-29 04:00:00,1010926.37045707,1010,28,12,160,4
2017-03-29 05:00:00,1017226.10441707,1010,14,14,134,3
2017-03-29 06:00:00,1036764.74005707,1011,0,16,108,3
2017-03-29 07:00:00,1096427.07705707,1011,0,20,149,3
2017-03-29 08:00:00,1212142.57917707,1011,0,24,189,4
2017-03-29 09:00:00,1326286.43333707,1011,0,28,230,5
2017-03-29 10:00:00,1390697.90453707,1010,0,28,244,9
2017-03-29 11:00:00,1408652.33053707,1009,0,28,259,14
2017-03-29 12:00:00,1414462.01653707,1008,0,28,274,18
2017-03-29 13:00:00,1412418.03053707,1008,0,28,280,17
2017-03-29 14:00:00,1420620.60413707,1007,0,26,285,16
2017-03-29 15:00:00,1417021.46233707,1007,0,26,291,15
2017-03-29 16:00:00,1405805.08653707,1007,0,22,294,12
2017-03-29 17:00:00,1363202.68493707,1008,0,20,298,9
2017-03-29 18:00:00,1294050.98793707,1008,0,18,302,6
2017-03-29 19:00:00,1248889.20273707,1009,0,18,267,5
2017-03-29 20:00:00,1203877.11373707,1009,0,16,232,3
2017-03-29 21:00:00,1171203.69625707,1010,0,16,198,2
2017-03-29 22:00:00,1142412.83683707,1009,0,16,212,2
2017-03-29 23:00:00,1109897.62731707,1009,0,14,227,2
2017-03-30 00:00:00,1076743.54177707,1009,0,14,241,2
2017-03-30 01:00:00,1046330.47413707,1009,0,14,191,3
2017-03-30 02:00:00,1027613.40439707,1009,0,12,140,3
2017-03-30 03:00:00,1013419.93853707,1009,0,12,90,3
2017-03-30 04:00:00,1007275.64265707,1009,0,16,78,3
2017-03-30 05:00:00,1008668.08857707,1010,0,18,67,4
2017-03-30 06:00:00,1026979.34623707,1010,0,22,55,4
2017-03-30 07:00:00,1090908.76517707,1010,0,24,132,6
2017-03-30 08:00:00,1210200.82121707,1010,0,28,209,8
2017-03-30 09:00:00,1328125.23933707,1010,0,30,286,9
2017-03-30 10:00:00,1382738.46653707,1010,0,30,284,12
2017-03-30 11:00:00,1401891.35853707,1009,0,32,281,16
2017-03-30 12:00:00,1407427.66053707,1008,0,32,278,19
2017-03-30 13:00:00,1405866.65453707,1008,0,30,273,18
2017-03-30 14:00:00,1432481.67973707,1007,0,28,268,16
2017-03-30 15:00:00,1448375.90353707,1007,0,26,263,15
2017-03-30 16:00:00,1434584.70373707,1007,0,24,250,12
2017-03-30 17:00:00,1388060.57033707,1008,0,22,237,10
2017-03-30 18:00:00,1325708.97513707,1009,0,18,224,7
2017-03-30 19:00:00,1276369.01433707,1009,0,18,213,8
2017-03-30 20:00:00,1235462.32693707,1010,0,18,201,8
2017-03-30 21:00:00,1201148.70173707,1010,0,16,190,8
2017-03-30 22:00:00,1176087.54011707,1010,0,16,190,8
2017-03-30 23:00:00,1143236.28271707,1010,0,14,190,8
2017-03-31 00:00:00,1110647.28319707,1009,0,14,191,8
2017-03-31 01:00:00,1083367.19355707,1009,0,14,169,6
2017-03-31 02:00:00,1061000.61785707,1009,0,12,147,5
2017-03-31 03:00:00,1045953.92403707,1009,0,12,125,3
2017-03-31 04:00:00,1035614.27819707,1009,0,14,126,3
2017-03-31 05:00:00,1039029.13013707,1010,0,16,126,4
2017-03-31 06:00:00,1036307.21807707,1010,0,18,126,4
2017-03-31 07:00:00,1066443.61951707,1010,0,20,164,6
2017-03-31 08:00:00,1145364.69013707,1010,0,24,201,8
2017-03-31 09:00:00,1231883.16073707,1010,0,26,238,9
2017-03-31 10:00:00,1276904.91013707,1009,0,26,244,13
2017-03-31 11:00:00,1290822.08013707,1008,0,26,249,17
2017-03-31 12:00:00,1303510.31733707,1008,0,26,255,20
2017-03-31 13:00:00,1302128.62813707,1007,0,26,256,18
2017-03-31 14:00:00,1308258.90333707,1007,0,24,258,16
2017-03-31 15:00:00,1302376.57213707,1006,0,22,259,14
2017-03-31 16:00:00,1296811.34013707,1007,0,20,255,12
2017-03-31 17:00:00,1267664.51633707,1007,0,18,252,10
2017-03-31 18:00:00,1237103.46493707,1008,0,16,249,8
2017-03-31 19:00:00,1212379.89153707,1008,0,16,227,8
2017-03-31 20:00:00,1184447.56191707,1009,0,16,206,9
2017-03-31 21:00:00,1156813.32647707,1009,0,16,185,9
2017-03-31 22:00:00,1133205.99291707,1009,0,14,184,9
2017-03-31 23:00:00,1105239.12531707,1009,0,14,183,8
2017-04-01 00:00:00,1081834.44967707,1008,0,14,182,7
2017-04-01 01:00:00,1059999.36787707,1008,5,12,175,6
2017-04-01 02:00:00,1037776.43215707,1009,11,12,168,6
2017-04-01 03:00:00,1023418.60833707,1009,16,12,161,5
2017-04-01 04:00:00,1017838.76845707,1009,15,14,171,6
2017-04-01 05:00:00,1011748.41249707,1009,13,14,181,7
2017-04-01 06:00:00,1005692.90641707,1010,12,16,191,8
2017-04-01 07:00:00,1049890.43569707,1009,8,18,215,8
2017-04-01 08:00:00,1129409.92031707,1009,4,22,239,8
2017-04-01 09:00:00,1215042.51273707,1009,0,24,263,8
2017-04-01 10:00:00,1271374.94813707,1008,0,24,264,12
2017-04-01 11:00:00,1289762.78333707,1007,0,26,265,15
2017-04-01 12:00:00,1295528.86373707,1007,0,26,266,19
2017-04-01 13:00:00,1289538.97213707,1006,0,24,270,17
2017-04-01 14:00:00,1298144.50393707,1006,0,22,275,15
2017-04-01 15:00:00,1285060.95413707,1005,0,22,279,13
2017-04-01 16:00:00,1267502.90613707,1006,0,20,277,12
2017-04-01 17:00:00,1239845.90693707,1006,0,18,275,10
2017-04-01 18:00:00,1214170.53913707,1007,0,16,273,9
2017-04-01 19:00:00,1192270.53777707,1007,0,16,261,7
2017-04-01 20:00:00,1169652.58213707,1008,0,14,249,5
2017-04-01 21:00:00,1153390.47047707,1008,0,14,237,3
2017-04-01 22:00:00,1134816.93081707,1008,0,14,215,3
2017-04-01 23:00:00,1104390.51921707,1008,0,14,194,3
2017-04-02 00:00:00,1083979.79949707,1007,0,12,172,3
2017-04-02 01:00:00,1054757.65787707,1007,0,12,177,2
2017-04-02 02:00:00,1031771.81613707,1007,0,12,182,2
2017-04-02 03:00:00,1015507.71033707,1007,0,12,186,1
2017-04-02 04:00:00,1005511.37045707,1008,0,14,230,2
2017-04-02 05:00:00,998663.95853707,1009,0,16,274,3
2017-04-02 06:00:00,988984.29265707,1009,0,18,318,4
2017-04-02 07:00:00,981910.33861707,1009,0,20,312,6
2017-04-02 08:00:00,1006754.01009707,1009,0,24,305,8
2017-04-02 09:00:00,1037477.69561707,1009,0,26,299,10
2017-04-02 10:00:00,1067492.56927707,1008,0,26,297,14
2017-04-02 11:00:00,1087436.88295707,1008,0,28,295,18
2017-04-02 12:00:00,1101556.48273707,1007,0,28,293,22
2017-04-02 13:00:00,1102347.90673707,1007,0,28,297,20
2017-04-02 14:00:00,1107896.47869707,1006,0,26,301,18
2017-04-02 15:00:00,1105253.83275707,1006,0,26,305,16
2017-04-02 16:00:00,1090685.34897707,1006,0,24,298,15
2017-04-02 17:00:00,1081434.72103707,1007,0,20,290,13
2017-04-02 18:00:00,1083853.13705707,1007,0,18,282,12
2017-04-02 19:00:00,1095305.56893707,1008,0,16,268,9
2017-04-02 20:00:00,1094661.07307707,1009,0,16,255,6
2017-04-02 21:00:00,1095292.64517707,1010,0,14,241,4
2017-04-02 22:00:00,1087013.48533707,1009,0,14,218,3
2017-04-02 23:00:00,1075237.47749707,1009,0,12,196,3
2017-04-03 00:00:00,1053953.52979707,1009,0,12,173,3
2017-04-03 01:00:00,1031061.65609707,1009,0,12,204,2
2017-04-03 02:00:00,1014093.98027707,1009,0,12,236,1
2017-04-03 03:00:00,1000906.03439707,1009,0,12,267,0
2017-04-03 04:00:00,995226.84651707,1010,0,14,292,1
2017-04-03 05:00:00,999713.33637707,1010,0,16,317,1
2017-04-03 06:00:00,1018785.55603707,1010,0,18,342,2
2017-04-03 07:00:00,1092136.57877707,1011,0,20,320,4
2017-04-03 08:00:00,1226304.71243707,1011,0,24,299,7
2017-04-03 09:00:00,1351864.04233707,1011,0,26,277,9
2017-04-03 10:00:00,1400862.14573707,1010,0,26,280,13
2017-04-03 11:00:00,1432858.98293707,1009,0,26,283,16
2017-04-03 12:00:00,1436024.38093707,1009,0,28,286,20
2017-04-03 13:00:00,1432351.67733707,1008,0,26,287,18
2017-04-03 14:00:00,1449370.72493707,1008,0,26,289,16
2017-04-03 15:00:00,1452003.28893707,1008,0,24,291,15
2017-04-03 16:00:00,1443140.01113707,1008,0,22,289,14
2017-04-03 17:00:00,1397271.12413707,1009,0,20,288,13
2017-04-03 18:00:00,1329613.72713707,1009,0,18,287,12
2017-04-03 19:00:00,1274150.30793707,1010,0,16,289,9
2017-04-03 20:00:00,1225077.35913707,1010,0,16,292,6
2017-04-03 21:00:00,1188788.88179707,1011,0,14,294,2
2017-04-03 22:00:00,1163831.55429707,1010,0,14,305,3
2017-04-03 23:00:00,1132842.78483707,1010,0,14,316,4
2017-04-04 00:00:00,1100260.82925707,1010,0,12,327,5
2017-04-04 01:00:00,1074694.12961707,1010,0,12,224,6
2017-04-04 02:00:00,1053430.28191707,1010,0,12,121,7
2017-04-04 03:00:00,1036980.89607707,1010,0,12,18,8
2017-04-04 04:00:00,1032110.08819707,1010,0,14,18,9
2017-04-04 05:00:00,1038810.87803707,1010,0,16,19,9
2017-04-04 06:00:00,1050236.09181707,1011,0,20,20,9
2017-04-04 07:00:00,1119244.43459707,1011,0,22,113,9
2017-04-04 08:00:00,1242867.32253707,1010,0,26,206,10
2017-04-04 09:00:00,1363118.60633707,1010,0,28,299,10
2017-04-04 10:00:00,1424186.64373707,1009,0,30,300,14
2017-04-04 11:00:00,1442092.59553707,1009,0,30,302,18
2017-04-04 12:00:00,1449823.43693707,1008,0,30,303,22
2017-04-04 13:00:00,1451535.23293707,1008,0,30,306,21
2017-04-04 14:00:00,1467597.74493707,1007,0,28,308,19
2017-04-04 15:00:00,1461455.73493707,1007,0,26,310,17
2017-04-04 16:00:00,1441140.55953707,1007,0,24,310,17
2017-04-04 17:00:00,1393473.16013707,1008,0,22,311,16
2017-04-04 18:00:00,1324456.73313707,1008,0,20,311,16
2017-04-04 19:00:00,1273364.53033707,1009,0,18,309,12
2017-04-04 20:00:00,1224903.95113707,1009,0,16,306,8
2017-04-04 21:00:00,1191029.45779707,1010,0,16,304,4
2017-04-04 22:00:00,1160421.41433707,1010,0,14,312,6
2017-04-04 23:00:00,1128693.90485707,1009,0,14,319,7
2017-04-05 00:00:00,1098477.76931707,1009,0,14,327,9
2017-04-05 01:00:00,1074217.68359707,1009,0,14,218,8
2017-04-05 02:00:00,1052578.83789707,1009,0,14,109,7
